"","ID","State","Country","Address","IRR","Capex_Payback","Capex_Asset","Capex..Lifetime.Benefit","PPA.Savings...on.Rate","PPA","PPA..Lifetime.Benefit","usage","NPV_estimated_capex","NPV_estimated_PPA","X","X.1","X.2","synthetic_total","Type","weighted_sum"
"1","01257-TORRINGTON","CT","US","1852 E MAIN ST, TORRINGTON, CT, 6790",0.385,2.1,59400,"482197.5115","0.15","3299.961479","74908.62399",20,187164.1011,38303.34479,NA,NA,NA,43.75,"Solar",27.1542857142857
"2","01257-TORRINGTON","CT","US","1852 E MAIN ST, TORRINGTON, CT, 6790",0.385,2.1,59400,"482197.5115","0.15","3299.961479","74908.62399",7.5,187164.1011,38303.34479,NA,NA,NA,43.75,"Battery",15.2742857142857
"3","01257-TORRINGTON","CT","US","1852 E MAIN ST, TORRINGTON, CT, 6790",0.385,2.1,59400,"482197.5115","0.15","3299.961479","74908.62399",2.5,187164.1011,38303.34479,NA,NA,NA,43.75,"CHP",16.9714285714286
"4","01257-TORRINGTON","CT","US","1852 E MAIN ST, TORRINGTON, CT, 6790",0.385,2.1,59400,"482197.5115","0.15","3299.961479","74908.62399",0,187164.1011,38303.34479,NA,NA,NA,43.75,"Fuel_Cell",0
"5","07754-BOS - WAREHAM","MA","US","2421 CRANBERRY HWY UNIT 202, WAREHAM, MA, 2571",0.376,2.1,114750,"906151.293","0.15","6258.691895","142071.3468",37.5,348596.1885,72645.94505,NA,NA,NA,85,"Solar",50.625
"6","07754-BOS - WAREHAM","MA","US","2421 CRANBERRY HWY UNIT 202, WAREHAM, MA, 2571",0.376,2.1,114750,"906151.293","0.15","6258.691895","142071.3468",15,348596.1885,72645.94505,NA,NA,NA,85,"Battery",30.375
"7","07754-BOS - WAREHAM","MA","US","2421 CRANBERRY HWY UNIT 202, WAREHAM, MA, 2571",0.376,2.1,114750,"906151.293","0.15","6258.691895","142071.3468",5,348596.1885,72645.94505,NA,NA,NA,85,"CHP",33.75
"8","07754-BOS - WAREHAM","MA","US","2421 CRANBERRY HWY UNIT 202, WAREHAM, MA, 2571",0.376,2.1,114750,"906151.293","0.15","6258.691895","142071.3468",0,348596.1885,72645.94505,NA,NA,NA,85,"Fuel_Cell",0
"9","09529-PITTSFIELD","MA","US","555 HUBBARD AVE, PITTSFIELD, MA, 1201",0.371,2.2,108540,"842341.2645","0.15","5775.833552","131105.2471",35,322177.9357,67038.60272,NA,NA,NA,80,"Solar",47.48625
"10","09529-PITTSFIELD","MA","US","555 HUBBARD AVE, PITTSFIELD, MA, 1201",0.371,2.2,108540,"842341.2645","0.15","5775.833552","131105.2471",15,322177.9357,67038.60272,NA,NA,NA,80,"Battery",30.526875
"11","09529-PITTSFIELD","MA","US","555 HUBBARD AVE, PITTSFIELD, MA, 1201",0.371,2.2,108540,"842341.2645","0.15","5775.833552","131105.2471",4.5,322177.9357,67038.60272,NA,NA,NA,80,"CHP",30.526875
"12","09529-PITTSFIELD","MA","US","555 HUBBARD AVE, PITTSFIELD, MA, 1201",0.371,2.2,108540,"842341.2645","0.15","5775.833552","131105.2471",0,322177.9357,67038.60272,NA,NA,NA,80,"Fuel_Cell",0
"13","04723-WOR - MILLBURY","MA","US","70 WORCESTER PROVIDENCE TURNPI, MILLBURY, MA, 1527",0.37,2.2,108540,"838658.9966","0.15","5701.520884","129418.429",35,320295.0659,66176.07484,NA,NA,NA,80,"Solar",47.48625
"14","04723-WOR - MILLBURY","MA","US","70 WORCESTER PROVIDENCE TURNPI, MILLBURY, MA, 1527",0.37,2.2,108540,"838658.9966","0.15","5701.520884","129418.429",15,320295.0659,66176.07484,NA,NA,NA,80,"Battery",30.526875
"15","04723-WOR - MILLBURY","MA","US","70 WORCESTER PROVIDENCE TURNPI, MILLBURY, MA, 1527",0.37,2.2,108540,"838658.9966","0.15","5701.520884","129418.429",4.5,320295.0659,66176.07484,NA,NA,NA,80,"CHP",30.526875
"16","04723-WOR - MILLBURY","MA","US","70 WORCESTER PROVIDENCE TURNPI, MILLBURY, MA, 1527",0.37,2.2,108540,"838658.9966","0.15","5701.520884","129418.429",0,320295.0659,66176.07484,NA,NA,NA,80,"Fuel_Cell",0
"17","05739-HARTSDALE","NY","US","333 CENTRAL PARK AVE, HARTSDALE, NY, 10530",0.359,2.2,437400,"3292920.997","0.15","23688.98157","547405.6615",80,1246383.276,279907.2614,NA,NA,NA,333.75,"Solar",104.844943820225
"18","03049-LA - SANTA ANA","CA","US","3309B S BRISTOL ST, SANTA ANA, CA, 92704",0.359,2.2,342900,"2563883.829","0.15","18589.88484","427895.315",65,968101.6055,218797.5284,NA,NA,NA,260,"Solar",85.725
"19","05739-HARTSDALE","NY","US","333 CENTRAL PARK AVE, HARTSDALE, NY, 10530",0.359,2.2,437400,"3292920.997","0.15","23688.98157","547405.6615",22.5,1246383.276,279907.2614,NA,NA,NA,333.75,"Battery",44.2314606741573
"20","03049-LA - SANTA ANA","CA","US","3309B S BRISTOL ST, SANTA ANA, CA, 92704",0.359,2.2,342900,"2563883.829","0.15","18589.88484","427895.315",20,968101.6055,218797.5284,NA,NA,NA,260,"Battery",39.5653846153846
"21","05739-HARTSDALE","NY","US","333 CENTRAL PARK AVE, HARTSDALE, NY, 10530",0.359,2.2,437400,"3292920.997","0.15","23688.98157","547405.6615",20,1246383.276,279907.2614,NA,NA,NA,333.75,"CHP",131.056179775281
"22","03049-LA - SANTA ANA","CA","US","3309B S BRISTOL ST, SANTA ANA, CA, 92704",0.359,2.2,342900,"2563883.829","0.15","18589.88484","427895.315",15,968101.6055,218797.5284,NA,NA,NA,260,"CHP",98.9134615384615
"23","05739-HARTSDALE","NY","US","333 CENTRAL PARK AVE, HARTSDALE, NY, 10530",0.359,2.2,437400,"3292920.997","0.15","23688.98157","547405.6615",20,1246383.276,279907.2614,NA,NA,NA,333.75,"Fuel_Cell",157.267415730337
"24","03049-LA - SANTA ANA","CA","US","3309B S BRISTOL ST, SANTA ANA, CA, 92704",0.359,2.2,342900,"2563883.829","0.15","18589.88484","427895.315",15,968101.6055,218797.5284,NA,NA,NA,260,"Fuel_Cell",118.696153846154
"25","03752-LI - ROCKY POINT","NY","US","346-40 ROUTE 25A, ROCKY POINT, NY, 11778",0.356,2.2,79380,"582504.7402","0.15","4012.392772","91351.31812",25,218474.6223,46711.0574,NA,NA,NA,59,"Solar",33.635593220339
"26","03752-LI - ROCKY POINT","NY","US","346-40 ROUTE 25A, ROCKY POINT, NY, 11778",0.356,2.2,79380,"582504.7402","0.15","4012.392772","91351.31812",11,218474.6223,46711.0574,NA,NA,NA,59,"Battery",22.1994915254237
"27","03752-LI - ROCKY POINT","NY","US","346-40 ROUTE 25A, ROCKY POINT, NY, 11778",0.356,2.2,79380,"582504.7402","0.15","4012.392772","91351.31812",3.5,218474.6223,46711.0574,NA,NA,NA,59,"CHP",23.5449152542373
"28","03752-LI - ROCKY POINT","NY","US","346-40 ROUTE 25A, ROCKY POINT, NY, 11778",0.356,2.2,79380,"582504.7402","0.15","4012.392772","91351.31812",0,218474.6223,46711.0574,NA,NA,NA,59,"Fuel_Cell",0
"29","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,"561304.4286","0.15","3798.232522","86212.33918",25,209794.177,44083.32148,NA,NA,NA,56.5,"Solar",34.1681415929204
"30","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,"561304.4286","0.15","3798.232522","86212.33918",11,209794.177,44083.32148,NA,NA,NA,56.5,"Battery",22.5509734513274
"31","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,"561304.4286","0.15","3798.232522","86212.33918",3,209794.177,44083.32148,NA,NA,NA,56.5,"CHP",20.5008849557522
"32","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,"561304.4286","0.15","3798.232522","86212.33918",0,209794.177,44083.32148,NA,NA,NA,56.5,"Fuel_Cell",0
"33","08719-PROV - WARWICK","RI","US","1500 BALD HILL RD UNIT C, WARWICK, RI, 2886",0.348,2.3,83430,"597802.3837","0.15","4163.32684","94505.2462",27.5,222246.8313,48323.76884,NA,NA,NA,61.5,"Solar",37.3060975609756
"34","08719-PROV - WARWICK","RI","US","1500 BALD HILL RD UNIT C, WARWICK, RI, 2886",0.348,2.3,83430,"597802.3837","0.15","4163.32684","94505.2462",11,222246.8313,48323.76884,NA,NA,NA,61.5,"Battery",22.3836585365854
