"","original_load","solar_gen","wind_gen","battery_output","battery_state_of_charge","net_load","exports","X","X.1","X.2","day","hour"
"1",8333,0,"13,704",-5372,"5,157","0",0,NA,NA,NA,1,1
"2",8161,0,"13,704",-5543,"10,478","0",0,NA,NA,NA,1,2
"3",7724,0,"13,678",-5954,"16,194","0",0,NA,NA,NA,1,3
"4",7353,0,"13,678",-6325,"22,267","0",0,NA,NA,NA,1,4
"5",7191,0,"13,133",-5942,"27,971","0",0,NA,NA,NA,1,5
"6",7010,0,"13,704",-6695,"34,398","0",0,NA,NA,NA,1,6
"7",6253,785,"13,704",-8236,"42,305","0",0,NA,NA,NA,1,7
"8",6052,7468,"14,016",-15431,"57,119","0",0,NA,NA,NA,1,8
"9",6538,16278,"14,016",-23756,"79,925","0",0,NA,NA,NA,1,9
"10",6639,24396,"14,016",-2513,"82,337","-29,259",-29259.2352,NA,NA,NA,1,10
"11",5974,30546,"14,016",0,"82,337","-38,588",-38588.47139,NA,NA,NA,1,11
"12",6360,34061,"14,016",0,"82,337","-41,717",-41717.0769,NA,NA,NA,1,12
"13",6600,34245,"13,990",0,"82,337","-41,635",-41635.21542,NA,NA,NA,1,13
"14",6840,34220,"13,990",0,"82,337","-41,370",-41369.91558,NA,NA,NA,1,14
"15",6848,32188,"13,938",0,"82,337","-39,278",-39277.96327,NA,NA,NA,1,15
"16",6958,27173,"13,964",0,"82,337","-34,179",-34178.86021,NA,NA,NA,1,16
"17",7366,19954,"13,730",0,"82,337","-26,318",-26318.44382,NA,NA,NA,1,17
"18",7937,11289,"13,756",0,"82,337","-17,108",-17108.45652,NA,NA,NA,1,18
"19",8002,3159,"13,756",0,"82,337","-8,914",-8913.685786,NA,NA,NA,1,19
"20",9243,7,"14,042",0,"82,337","-4,806",-4806.310368,NA,NA,NA,1,20
"21",9548,0,"14,016",0,"82,337","-4,468",-4468.144331,NA,NA,NA,1,21
"22",9000,0,"14,016",0,"82,337","-5,016",-5016.157869,NA,NA,NA,1,22
"23",8372,0,"14,016",0,"82,337","-5,644",-5643.94553,NA,NA,NA,1,23
"24",7524,0,"14,016",0,"82,337","-6,492",-6491.979138,NA,NA,NA,1,24
"25",7052,0,"13,730",0,"82,337","-6,678",-6678.178065,NA,NA,NA,2,1
"26",6729,0,"13,159",0,"82,337","-6,431",-6430.592249,NA,NA,NA,2,2
"27",6655,0,"12,095",0,"82,337","-5,440",-5440.126958,NA,NA,NA,2,3
"28",6502,0,"10,642",0,"82,337","-4,140",-4140.105433,NA,NA,NA,2,4
"29",6716,0,"13,133",0,"82,337","-6,418",-6417.643542,NA,NA,NA,2,5
"30",6770,0,"13,185",0,"82,337","-6,416",-6415.793435,NA,NA,NA,2,6
"31",6133,806,"12,121",0,"82,337","-6,794",-6793.992692,NA,NA,NA,2,7
"32",6167,7734,"13,185",0,"82,337","-14,752",-14752.41669,NA,NA,NA,2,8
"33",7011,17204,"12,121",0,"82,337","-22,314",-22314.36571,NA,NA,NA,2,9
"34",7697,25550,"13,211",0,"82,337","-31,064",-31064.38347,NA,NA,NA,2,10
"35",7470,31696,"13,211",0,"82,337","-37,437",-37437.45824,NA,NA,NA,2,11
"36",6835,34244,"12,147",0,"82,337","-39,555",-39555.39073,NA,NA,NA,2,12
"37",6163,34308,"9,084",0,"82,337","-37,229",-37229.06592,NA,NA,NA,2,13
"38",6055,34280,"13,159",0,"82,337","-41,384",-41384.22129,NA,NA,NA,2,14
"39",6554,33456,"13,730",0,"82,337","-40,632",-40632.33804,NA,NA,NA,2,15
"40",6502,28328,"13,938",0,"82,337","-35,764",-35763.90891,NA,NA,NA,2,16
"41",7528,20870,"13,938",0,"82,337","-27,280",-27279.93136,NA,NA,NA,2,17
"42",7785,11912,"13,159",0,"82,337","-17,286",-17286.1113,NA,NA,NA,2,18
"43",7713,3415,"13,990",0,"82,337","-9,692",-9692.317231,NA,NA,NA,2,19
"44",8833,7,"14,016",0,"82,337","-5,190",-5189.959936,NA,NA,NA,2,20
"45",10133,0,"14,042",0,"82,337","-3,909",-3908.800419,NA,NA,NA,2,21
"46",9560,0,"14,068",0,"82,337","-4,508",-4507.915505,NA,NA,NA,2,22
"47",8873,0,"14,042",0,"82,337","-5,169",-5168.711291,NA,NA,NA,2,23
"48",8254,0,"14,042",0,"82,337","-5,788",-5787.827851,NA,NA,NA,2,24
"49",7601,0,"14,042",0,"82,337","-6,441",-6440.761703,NA,NA,NA,3,1
"50",7191,0,"14,016",0,"82,337","-6,825",-6824.949389,NA,NA,NA,3,2
"51",6941,0,"14,042",0,"82,337","-7,101",-7100.632435,NA,NA,NA,3,3
"52",6879,0,"13,964",0,"82,337","-7,085",-7085.198285,NA,NA,NA,3,4
"53",7062,0,"13,964",0,"82,337","-6,902",-6902.238069,NA,NA,NA,3,5
"54",7102,0,"14,016",0,"82,337","-6,914",-6914.261722,NA,NA,NA,3,6
"55",6465,487,"14,016",0,"82,337","-8,038",-8037.84783,NA,NA,NA,3,7
"56",6713,5545,"14,016",0,"82,337","-12,847",-12847.28448,NA,NA,NA,3,8
"57",8065,12362,"13,964",0,"82,337","-18,261",-18261.33278,NA,NA,NA,3,9
"58",8768,18152,"13,964",0,"82,337","-23,347",-23347.43501,NA,NA,NA,3,10
"59",8192,22627,"13,964",0,"82,337","-28,399",-28399.00065,NA,NA,NA,3,11
"60",8160,24926,"13,730",0,"82,337","-30,496",-30496.07317,NA,NA,NA,3,12
"61",7478,26562,"13,730",0,"82,337","-32,815",-32814.8851,NA,NA,NA,3,13
"62",8730,25828,"13,730",0,"82,337","-30,829",-30828.61111,NA,NA,NA,3,14
"63",8371,23798,"13,730",0,"82,337","-29,158",-29157.71712,NA,NA,NA,3,15
"64",8371,19887,"13,964",0,"82,337","-25,480",-25479.85482,NA,NA,NA,3,16
"65",8062,14939,"13,964",0,"82,337","-20,841",-20841.4008,NA,NA,NA,3,17
"66",8383,8503,"13,964",0,"82,337","-14,083",-14083.46073,NA,NA,NA,3,18
"67",8326,2814,"13,704",0,"82,337","-8,193",-8192.845344,NA,NA,NA,3,19
"68",9238,4,"13,730",0,"82,337","-4,496",-4496.315111,NA,NA,NA,3,20
"69",10462,0,"13,730",0,"82,337","-3,269",-3268.701432,NA,NA,NA,3,21
"70",10052,0,"13,730",0,"82,337","-3,679",-3678.844476,NA,NA,NA,3,22
"71",9256,0,"13,159",0,"82,337","-3,904",-3903.833625,NA,NA,NA,3,23
"72",8540,0,"13,159",0,"82,337","-4,619",-4619.199399,NA,NA,NA,3,24
"73",7859,0,"13,133",0,"82,337","-5,274",-5273.925414,NA,NA,NA,4,1
"74",7487,0,"13,133",0,"82,337","-5,646",-5645.915616,NA,NA,NA,4,2
"75",7258,0,"13,133",0,"82,337","-5,876",-5875.699774,NA,NA,NA,4,3
"76",7193,0,"13,133",0,"82,337","-5,941",-5940.733026,NA,NA,NA,4,4
"77",7292,0,"13,133",0,"82,337","-5,842",-5841.882483,NA,NA,NA,4,5
"78",7172,0,"13,678",0,"82,337","-6,507",-6506.606167,NA,NA,NA,4,6
"79",6574,675,"13,704",0,"82,337","-7,805",-7805.488027,NA,NA,NA,4,7
"80",7005,7141,"13,990",0,"82,337","-14,125",-14125.37571,NA,NA,NA,4,8
"81",7970,15553,"13,990",0,"82,337","-21,572",-21572.05367,NA,NA,NA,4,9
"82",8568,23650,"13,938",0,"82,337","-29,020",-29020.07784,NA,NA,NA,4,10
"83",8479,28971,"13,964",0,"82,337","-34,456",-34455.66492,NA,NA,NA,4,11
"84",8769,32458,"13,730",0,"82,337","-37,420",-37419.52669,NA,NA,NA,4,12
"85",8654,34025,"13,159",0,"82,337","-38,531",-38530.96763,NA,NA,NA,4,13
"86",8874,33339,"13,133",0,"82,337","-37,598",-37598.03704,NA,NA,NA,4,14
"87",8843,30364,"13,133",0,"82,337","-34,654",-34654.38489,NA,NA,NA,4,15
"88",8924,25277,"13,133",0,"82,337","-29,486",-29485.741,NA,NA,NA,4,16
"89",8101,18803,"12,069",0,"82,337","-22,772",-22771.53026,NA,NA,NA,4,17
"90",7983,11107,"13,133",0,"82,337","-16,257",-16256.68656,NA,NA,NA,4,18
"91",7918,3247,"13,133",0,"82,337","-8,463",-8463.301678,NA,NA,NA,4,19
"92",8849,13,"13,159",0,"82,337","-4,324",-4323.761094,NA,NA,NA,4,20
"93",10150,0,"13,704",0,"82,337","-3,554",-3554.038576,NA,NA,NA,4,21
"94",9954,0,"13,704",0,"82,337","-3,750",-3750.005442,NA,NA,NA,4,22
"95",9210,0,"13,938",0,"82,337","-4,728",-4728.451171,NA,NA,NA,4,23
"96",8406,0,"13,938",0,"82,337","-5,532",-5532.262168,NA,NA,NA,4,24
"97",7708,0,"13,912",0,"82,337","-6,204",-6204.330383,NA,NA,NA,5,1
"98",7317,0,"13,912",0,"82,337","-6,595",-6595.397006,NA,NA,NA,5,2
"99",7081,0,"13,912",0,"82,337","-6,831",-6831.250934,NA,NA,NA,5,3
"100",6972,0,"13,653",0,"82,337","-6,680",-6680.086116,NA,NA,NA,5,4
"101",7122,0,"13,082",0,"82,337","-5,959",-5959.058224,NA,NA,NA,5,5
"102",7008,0,"13,082",0,"82,337","-6,074",-6073.516748,NA,NA,NA,5,6
"103",6390,434,"13,107",0,"82,337","-7,152",-7151.653957,NA,NA,NA,5,7
"104",6684,5755,"13,107",0,"82,337","-12,179",-12178.95955,NA,NA,NA,5,8
"105",7651,12811,"13,107",0,"82,337","-18,267",-18266.64768,NA,NA,NA,5,9
"106",7709,19043,"13,107",0,"82,337","-24,441",-24440.83124,NA,NA,NA,5,10
"107",8185,21995,"13,107",0,"82,337","-26,918",-26917.70686,NA,NA,NA,5,11
"108",8633,25752,"13,107",0,"82,337","-30,227",-30226.98703,NA,NA,NA,5,12
"109",8427,26526,"10,616",0,"82,337","-28,714",-28713.90578,NA,NA,NA,5,13
"110",7719,28170,"9,007",0,"82,337","-29,457",-29457.4016,NA,NA,NA,5,14
"111",7845,25176,"9,007",0,"82,337","-26,338",-26338.15271,NA,NA,NA,5,15
"112",7767,20574,"9,007",0,"82,337","-21,814",-21814.13558,NA,NA,NA,5,16
"113",8541,14747,"10,590",0,"82,337","-16,795",-16795.49352,NA,NA,NA,5,17
"114",8140,9109,"10,590",0,"82,337","-11,560",-11559.63057,NA,NA,NA,5,18
"115",8181,2809,"12,043",0,"82,337","-6,671",-6671.296229,NA,NA,NA,5,19
"116",8856,4,"12,043",0,"82,337","-3,191",-3191.147519,NA,NA,NA,5,20
"117",10048,0,"13,107",0,"82,337","-3,059",-3059.384345,NA,NA,NA,5,21
"118",9934,0,"13,107",0,"82,337","-3,173",-3172.975758,NA,NA,NA,5,22
"119",9320,0,"13,107",0,"82,337","-3,788",-3787.756769,NA,NA,NA,5,23
"120",8620,0,"12,043",0,"82,337","-3,423",-3423.344919,NA,NA,NA,5,24
"121",7874,0,"13,107",0,"82,337","-5,233",-5233.229187,NA,NA,NA,6,1
"122",7394,0,"13,107",0,"82,337","-5,714",-5713.608142,NA,NA,NA,6,2
"123",7114,0,"13,653",0,"82,337","-6,539",-6538.747182,NA,NA,NA,6,3
"124",6824,0,"13,082",0,"82,337","-6,257",-6257.344074,NA,NA,NA,6,4
"125",6708,0,"13,653",0,"82,337","-6,945",-6944.554675,NA,NA,NA,6,5
"126",6639,0,"13,886",0,"82,337","-7,248",-7247.521692,NA,NA,NA,6,6
"127",6124,378,"13,964",0,"82,337","-8,218",-8218.059461,NA,NA,NA,6,7
"128",5993,5221,"13,964",0,"82,337","-13,192",-13192.18818,NA,NA,NA,6,8
"129",6107,10645,"13,990",0,"82,337","-18,528",-18527.71098,NA,NA,NA,6,9
"130",6611,16740,"14,016",0,"82,337","-24,145",-24145.13598,NA,NA,NA,6,10
"131",6450,21279,"14,016",0,"82,337","-28,844",-28843.97648,NA,NA,NA,6,11
"132",7028,24254,"13,990",0,"82,337","-31,216",-31216.02693,NA,NA,NA,6,12
"133",6122,24443,"13,964",0,"82,337","-32,286",-32285.50947,NA,NA,NA,6,13
"134",5597,25049,"13,964",0,"82,337","-33,416",-33415.63358,NA,NA,NA,6,14
"135",6274,22218,"13,964",0,"82,337","-29,909",-29908.91242,NA,NA,NA,6,15
"136",7358,18936,"13,886",0,"82,337","-25,463",-25463.47707,NA,NA,NA,6,16
"137",7070,14309,"13,653",0,"82,337","-20,891",-20891.04867,NA,NA,NA,6,17
"138",7792,8869,"13,082",0,"82,337","-14,159",-14158.9451,NA,NA,NA,6,18
"139",8079,2782,"13,653",0,"82,337","-8,355",-8355.462345,NA,NA,NA,6,19
