"","ID","State","Country","Address","IRR","Capex_Payback","Capex_Asset","Capex_life","PPA.Savings...on.Rate","PPA","PPA..Lifetime.Benefit","Battery","Solar","CHP","Fuel_Cell","NPV_estimated_capex","NPV_estimated_PPA","X","X.1","X.2","synthetic_total","ntile"
"1","1381 - CASPER WY","WY","US","445 NEWPORT RD, CASPER, WY, 82609",0,31,1260900,-810299.9629,"0.15",0,"0",62.5,235,57.5,57.5,-1675234.121,0,NA,NA,NA,961.25,1
"2","5161 JACKSONVILLE NC","NC","US","2001 MARLIN UNIT 600, JACKSONVILLE, NC, 28546",0,31,761400,-580473.332,"0.15",0,"0",37.5,140,35,35,-1058215.894,0,NA,NA,NA,581.25,1
"3","SAN DIEGO","CA","US","1640 N CAMINO DEL RIO, SAN DIEGO, CA, 92018",0,31,79380,-15750.41455,"0.15",0,"0",11,25,3.5,0,-87433.72635,0,NA,NA,NA,59,1
"4","SAC GATEWAY CA","null","null","3631 N FREEWAY BLVD, SACRAMENTO, CA, 95834",0,0,0,0,"0.15",0,"0",0,0,0,0,0,0,NA,NA,NA,0,1
"5","09989-BUFF - AMHERST","null","null","1261 NIAGARA FALLS BLVD, AMHERST, NY, 14226",0,0,0,0,"0.15",0,"0",0,0,0,0,0,0,NA,NA,NA,0,1
"6","09173-AMARILLO (RELO 1011 3/29","null","null","2203 S WESTERN ST 600, AMARILLO, TX, 79109",0,0,0,0,"0.15",0,"0",0,0,0,0,0,0,NA,NA,NA,0,1
"7","02070-BIRM - TRUSSVILLE","null","null","1632 GADSDEN HWY, BIRMINGHAM, AL, 35235",0,0,0,0,"0.15",0,"0",0,0,0,0,0,0,NA,NA,NA,0,1
"8","08407-SEA - KIRKLAND","WA","US","9755 JUANITA DR NE, KIRKLAND, WA, 98034",0.041,18.9,18900,22998.62747,"0.15",291.1753515,"6800.195928",0,1,0,2,-7140.014153,3477.17306,NA,NA,NA,13,1
"9","07808-S.ANT - SAN ANTONIO/LA C","TX","US","17802 LA CANTERA PKWY STE 104, SAN ANTONIO, TX, 78257",0.068,13.8,18900,28934.96584,"0.15",312.92352,"7299.474702",0,1,0,2,-4104.561052,3732.471395,NA,NA,NA,13,1
"10","05060 - BOS-BRAINTREE (RELO FR","MA","US","145 PEARL ST, BRAINTREE, MA, 2184",0.167,5.7,11610,38649.02702,"0.15",321.2142228,"7391.854329",1.5,2.5,1,0,8152.571102,3779.708262,NA,NA,NA,9.75,1
"11","02119-INDY - CASTLETON","IN","US","5151 E 82ND ST STE 300, INDIANAPOLIS, IN, 46250",0.123,7.7,19440,46665.34561,"0.15",342.6048864,"7807.453848",2.5,6,1,0,4421.589329,3992.218529,NA,NA,NA,14.75,1
"12","09409-CIN - PAXTON","OH","US","3862 PAXTON AVE, CINCINNATI, OH, 45209",0.092,10.6,25110,47971.79636,"0.15",386.28219,"8808.26526",3,7.5,1.5,0,-580.3776609,4503.967678,NA,NA,NA,19.5,1
"13","01169-DFW-GRANDBURY","TX","US","3906 US HWY 377 STE 114, GRANBURY, TX, 76048",0.061,14.7,38070,55738.83714,"0.15",447.0863315,"10179.74549",5,11.5,2,0,-9568.823719,5205.252486,NA,NA,NA,29,1
"14","02786-PITT - GREENSBURG","PA","US","SOUTH ANNEX US RTE 30 E STE 78, GREENSBURG, PA, 15601",0.048,17,53190,69792.8934,"0.15",576.3285855,"13148.68391",6.5,17.5,2.5,0,-17502.50345,6723.372378,NA,NA,NA,39.75,1
"15","04815-PITT - CRANBERRY","PA","US","20111 RT 19, CRANBERRY TOWNSHIP, PA, 16066",0.051,16.5,59400,79614.48747,"0.15",637.9690005,"14517.94358",7.5,20,2.5,0,-18690.38605,7423.521738,NA,NA,NA,43.75,1
"16","01269 DFW EULESS","TX","US","2901 RIO GRANDE BLVD, EULESS, TX, 76039",0.057,15.5,72090,100632.0477,"0.15",777.5990793,"17655.65352",10.5,22.5,3,0,-20633.38775,9027.940286,NA,NA,NA,53.25,1
"17","01064-RAL-HOLLY SPRINGS-OPENS","NC","US","164 GRAND HILL PLACE, HOLLY SPRINGS, NC, 27540",0.092,10.6,58320,110225.9928,"0.15",816.8337375,"18558.79752",7,20,2.5,0,-1957.675069,9489.748743,NA,NA,NA,43,1
"18","05727-CIN - HAMILTON","OH","US","3455 PRINCETON RD, HAMILTON, OH, 45011",0.051,16.4,103410,138379.6398,"0.15",1107.941953,"25232.18332",14.5,32.5,4.5,0,-32651.75118,12902.07944,NA,NA,NA,76.75,1
"19","01090 - PHI-MARLTON","NJ","US","101 ROUTE 73 S, MARLTON, NJ, 8053",0.158,5.9,48060,147426.9853,"0.15",1071.275465,"24409.23446",6,15,2.5,0,27324.46642,12481.27751,NA,NA,NA,36.5,1
"20","01253 LINCOLN 48TH ST","NE","US","400 N 48TH ST, LINCOLN, NE, 68504",0.069,13.6,103410,162025.5393,"0.15",1215.156239,"27635.61248",14.5,32.5,4.5,0,-20560.79296,14131.03508,NA,NA,NA,76.75,1
"21","SACRAMENTO ARDEN","CA","US","2100 ARDEN WAY STE 125, SACRAMENTO, CA, 95825",0.147,6.4,58320,162968.6845,"0.15",1165.379041,"26454.56571",7,20,2.5,0,25011.46946,13527.12542,NA,NA,NA,43,1
"22","01182 N ORL-MAGNOLIA","LA","US","2900 S CLAIBORNE AVE, NEW ORLEANS, LA, 70125",0.1,9.3,85590,170208.193,"0.15",1262.705585,"28704.11641",11,27.5,4,0,1443.278109,14677.39773,NA,NA,NA,64,1
"23","5132 FEASTERVILLE","PA","US","174 W STREET RD, FEASTERVILLE-TREVOSE, PA, 19053",0.096,9.8,90720,177270.7139,"0.15",1357.25929,"30848.27509",11.5,30,4,0,-75.41311949,15773.77949,NA,NA,NA,67.25,1
"24","09924-LOGAN","UT","US","1427-B N MAIN ST, LOGAN, UT, 84341",0.083,11.9,101250,177362.1282,"0.15",1295.76518,"29411.44515",14.5,32.5,4,0,-10558.66986,15039.07914,NA,NA,NA,74.25,1
"25","03727-DFW - DENTON","TX","US","1800 S LOOP 288 STE 106, DENTON, TX, 76205",0.105,9,85590,177764.9191,"0.15",1326.333971,"30160.06656",11,27.5,4,0,5307.290913,15421.8749,NA,NA,NA,64,1
"26","04718-AUS - ROUND ROCK","TX","US","3021 S IH-35 STE 190, ROUND ROCK, TX, 78664",0.051,16.4,135810,180813.6298,"0.15",1399.415119,"31764.06076",20,42.5,5.5,0,-43353.7989,16242.05207,NA,NA,NA,100,1
"27","02056-MYRTLE BEACH","SC","US","554 SEABOARD ST, MYRTLE BEACH, SC, 29577",0.111,8.5,86670,190232.7002,"0.15",1431.464207,"32550.7945",11.5,27.5,4,0,10602.49439,16644.33597,NA,NA,NA,64.75,1
"28","03008-LA - TORRANCE","CA","US","4240 PACIFIC COAST HWY, TORRANCE, CA, 90505",0.195,4.6,53190,198444.8496,"0.15",1417.380015,"32217.42726",6.5,17.5,2.5,0,48281.64762,16473.87389,NA,NA,NA,39.75,1
"29","05088 TYLER TX","TX","US","5839 S BROADWAY AVE, TYLER, TX, 75703",0.058,15.2,142020,201565.8903,"0.15",1540.366972,"34982.97795",20,45,6,0,-38952.45737,17887.99466,NA,NA,NA,105,1
"30","01405-DET - ROSEVILLE","MI","US","32078 GRATIOT AVE, ROSEVILLE, MI, 48066",0.15,6.3,72090,207340.7302,"0.15",1467.386479,"33307.4341",10.5,22.5,3,0,33930.41603,17031.23171,NA,NA,NA,53.25,1
"31","05740-RIO GRANDE","null","US","3201 ROUTE 9 S, RIO GRANDE, NJ, 8242",0.176,5.3,59400,209504.7955,"0.15",1460.8838,"33161.8402",7.5,20,2.5,0,47726.9767,16956.78457,NA,NA,NA,43.75,1
"32","09805-PORT - CLACKAMAS","OR","US","11211 SE 82ND AVE STE F, PORTLAND, OR, 97266",0.059,15.3,146070,213713.7011,"0.15",1626.270842,"37076.80405",20,47.5,6,0,-36790.86571,18958.63966,NA,NA,NA,107.5,1
"33","09984-MSP - COON RAPIDS","MN","US","44 NW COON RAPIDS BLVD, COON RAPIDS, MN, 55448",0.091,11.1,114750,214233.8935,"0.15",1594.613534,"36356.68113",15,37.5,5,0,-5204.873544,18590.41614,NA,NA,NA,85,1
"34","PHX - PHOENIX/ N 7TH AZ","AZ","US","735 E BELL RD, PHOENIX, AZ, 85022",0.16,5.8,72090,218015.7526,"0.15",1606.561214,"36426.8026",10.5,22.5,3,0,39388.92054,18626.27165,NA,NA,NA,53.25,1
"35","05138 PHX GLENDALE AZ","AZ","US","72320 W BELL RD, GLENDALE, AZ, 85308",0.185,4.9,62640,221157.8837,"0.15",1625.15617,"36920.36264",8,20,3,0,50445.59981,18878.64581,NA,NA,NA,47,1
"36","09201-HUNTINGTON","WV","US","10 E MALL RD, BARBOURSVILLE, WV, 25504",0.065,14.3,148230,224240.5638,"0.15",1691.907292,"38524.10939",20,47.5,6.5,0,-33568.1203,19698.69644,NA,NA,NA,110,1
"37","05808-VEGAS - SAHARA","NV","US","1251 S DECATUR BLVD, LAS VEGAS, NV, 89102",0.106,8.8,108540,226746.3216,"0.15",1667.644775,"37805.15482",15,35,4.5,0,7403.159465,19331.07035,NA,NA,NA,80,1
"38","07807-BROWNSVILLE","TX","US","571 E MORRISON RD, BROWNSVILLE, TX, 78526",0,31,2538000,229311.9226,"0.15",13182.04248,"303682.4319",125,500,112.5,112.5,-2420744.961,155283.2275,NA,NA,NA,1925,1
"39","01187 - CHATTANOOGA-HIXSON","TN","US","625 NORTHGATE MALL DR, CHATTANOOGA, TN, 37415",0.14,6.7,90720,240225.3096,"0.15",1758.482837,"39917.89362",11.5,30,4,0,32115.42761,20411.38605,NA,NA,NA,67.25,1
"40","09951-INDY - WESTFIELD","IN","US","14670 US HWY 31 N, CARMEL, IN, 46032",0.096,9.7,126360,245828.587,"0.15",1811.816328,"41226.51988",17.5,40,5.5,0,-659.4247491,21080.53147,NA,NA,NA,93.75,1
"41","05056-OCALA","FL","US","2701 SW COLLEGE RD, OCALA, FL, 34474",0.116,8.1,108540,247067.2139,"0.15",1899.276769,"43138.51466",15,35,4.5,0,17793.92762,22058.19988,NA,NA,NA,80,1
"42","01581-PITT - WATERFRONT","PA","US","660 WATERFRONT DR E, MUNHALL, PA, 15120",0.179,5.1,72090,247506.1841,"0.15",1768.153388,"40234.3842",10.5,22.5,3,0,54468.38812,20573.21852,NA,NA,NA,53.25,1
"43","07775-RUTLAND","VT","US","324 S MAIN ST, RUTLAND, VT, 5701",0.18,5.1,72090,250082.2822,"0.15",1740.734302,"39600.85126",10.5,22.5,3,0,55785.63529,20249.27143,NA,NA,NA,53.25,1
"44","03849-CHI - SKOKIE","IL","US","7055 N CENTRAL AVE, SKOKIE, IL, 60077",0.18,5,75060,254512.5343,"0.15",1772.573837,"40158.33405",11,25,2.5,0,55080.97492,20534.33148,NA,NA,NA,54,1
"45","02876-CHATTANOOGA","TN","US","2200 HAMILTON PLACE BLVD, CHATTANOOGA, TN, 37421",0.123,7.6,108540,255702.7879,"0.15",1879.952393,"42672.90961",15,35,4.5,0,22209.59232,21820.12007,NA,NA,NA,80,1
"46","PHI-POTTSTOWN PA","PA","US","223 SHOWMAKER RD #117, POTTSTOWN, PA, 19464",0.09,11.1,146070,272203.0601,"0.15",2076.311352,"47205.95709",20,47.5,6,0,-6883.253426,24138.02249,NA,NA,NA,107.5,1
"47","02740-NWK - MT OLIVE","NJ","US","30 INTERNATIONAL DR STE J, FLANDERS, NJ, 7836",0.105,8.9,135810,283029.5459,"0.15",2230.853205,"50733.25777",20,42.5,5.5,0,8912.699521,25941.65212,NA,NA,NA,100,1
"48","06730-TAMPA - PINELLAS PARK","FL","US","7240 US HWY 19N, PINELLAS PARK, FL, 33781",0.096,9.7,146070,284857.3717,"0.15",2237.348527,"50798.21733",20,47.5,6,0,-412.6705184,25974.86817,NA,NA,NA,107.5,1
"49","05064 BUCKINGHAM PLAZA","FL","US","340 S STATE RD 7, WELLINGTON, FL, 33414",0.115,8.2,126360,286290.8298,"0.15",2074.162875,"47149.99517",17.5,40,5.5,0,20030.3057,24109.40725,NA,NA,NA,93.75,1
"50","09049-DEERFIELD BEACH","FL","US","3701 W HILLSBORO BLVD, DEERFIELD BEACH, FL, 33442",0.096,9.7,152280,298029.7136,"0.15",2354.250619,"53450.19258",20,50,6.5,0,112.7990103,27330.91394,NA,NA,NA,112.5,1
"51","01189 - DEN-SHERIDAN","CO","US","3710 RIVER POINT PKWY, SHERIDAN, CO, 80110",0.124,7.6,126360,302247.7142,"0.15",2198.899429,"49930.02829",17.5,40,5.5,0,28189.60713,25530.93339,NA,NA,NA,93.75,1
